Nº do cliente;Safra;Estado;Renda Mensal;Endividamento;Quantidade de Cheques sem Fundo;Quantidade de Restritivos;Valor dos Restritivos;Quantidade de Protestos;Valor dos Protestos;Modelo Score 1;Modelo Score 2;Modelo Score 3;Modelo Score 4;Performance 30D3M EVER;Performance 60D6M EVER;Performance 60D9M EVER;Performance 90D9M EVER;Performance 90D12M EVER
37046636;2020-07-01 00:00:00 UTC;SC;3492;Até 25%;0;0;0;0;0;473;662;522;765;BOM;BOM;BOM;BOM;
654384939;2020-08-01 00:00:00 UTC;SP;3492;Até 25%;0;0;0;0;0;861;669;672;791;BOM;BOM;BOM;BOM;
1130328535;2020-05-01 00:00:00 UTC;MS;1697;Até 25%;0;0;0;0;0;865;682;785;745;BOM;BOM;BOM;BOM;BOM
348699569;2020-07-01 00:00:00 UTC;SC;3492;Até 25%;0;1;338;0;0;219;242;258;710;BOM;BOM;BOM;BOM;
1070287544;2020-08-01 00:00:00 UTC;SC;3492;Até 25%;0;0;0;0;0;496;610;332;681;BOM;BOM;BOM;BOM;
1107432579;2020-06-01 00:00:00 UTC;BA;1231;Até 25%;0;0;0;0;0;668;740;684;779;BOM;BOM;BOM;BOM;BOM
342732006;2020-06-01 00:00:00 UTC;RS;1429;Até 25%;0;0;0;1;804;290;671;577;711;BOM;BOM;BOM;BOM;BOM
165775495;2020-08-01 00:00:00 UTC;TO;3366;Até 25%;0;2;168;0;0;113;259;219;563;MAU;MAU;MAU;MAU;
1020233087;2020-10-01 00:00:00 UTC;MS;1353;Até 25%;0;0;0;0;0;802;687;757;799;BOM;BOM;;;
554519599;2020-06-01 00:00:00 UTC;PR;3367;Até 25%;0;0;0;0;0;449;661;577;719;BOM;MAU;MAU;MAU;MAU
315573505;2020-06-01 00:00:00 UTC;MG;1354;Até 25%;0;0;0;0;0;894;750;857;896;BOM;BOM;BOM;BOM;BOM
684222754;2020-06-01 00:00:00 UTC;MS;1331;Até 25%;0;1;130;0;0;90;446;188;591;MAU;MAU;MAU;MAU;MAU
289389300;2020-06-01 00:00:00 UTC;RS;2375;Até 25%;0;0;0;0;0;794;684;804;898;BOM;BOM;BOM;BOM;BOM
601042233;2020-05-01 00:00:00 UTC;RS;3367;Até 25%;0;1;249;0;0;217;557;274;679;BOM;BOM;BOM;BOM;BOM
1015970542;2020-06-01 00:00:00 UTC;PR;3366;26 a 50%;0;1;254;0;0;87;269;203;636;BOM;BOM;BOM;BOM;BOM
832802894;2020-05-01 00:00:00 UTC;PR;4277;Até 25%;0;0;0;0;0;656;604;500;675;BOM;BOM;BOM;BOM;BOM
224111468;2020-09-01 00:00:00 UTC;RJ;4404;Até 25%;0;0;0;0;0;803;686;816;885;BOM;BOM;BOM;BOM;
1201330356;2020-05-01 00:00:00 UTC;RS;1311;Acima de 100%;7;8;9398;0;0;22;109;297;527;BOM;BOM;BOM;BOM;BOM
572909436;2020-07-01 00:00:00 UTC;RS;1457;Até 25%;0;0;0;0;0;664;617;500;688;BOM;BOM;BOM;BOM;
813804122;2020-06-01 00:00:00 UTC;RS;1231;Até 25%;0;0;0;0;0;567;648;574;677;BOM;BOM;BOM;BOM;BOM
850218435;2020-05-01 00:00:00 UTC;PR;2392;Até 25%;0;2;140;0;0;166;238;258;649;MAU;BOM;BOM;BOM;BOM
22066835;2020-06-01 00:00:00 UTC;RS;1350;Até 25%;0;0;0;0;0;802;748;806;832;BOM;BOM;BOM;BOM;BOM
895523199;2020-10-01 00:00:00 UTC;RS;1473;Até 25%;0;0;0;0;0;411;581;443;1;BOM;BOM;;;
98914432;2020-09-01 00:00:00 UTC;RS;2395;Até 25%;0;0;0;0;0;707;671;674;754;BOM;BOM;BOM;BOM;
1190004165;2020-09-01 00:00:00 UTC;TO;2392;Até 25%;0;0;0;0;0;481;655;396;735;BOM;BOM;BOM;BOM;
33027665;2020-05-01 00:00:00 UTC;GO;2518;Até 25%;0;0;0;0;0;206;598;246;652;BOM;BOM;BOM;BOM;BOM
72486653;2020-08-01 00:00:00 UTC;PR;3492;Até 25%;0;0;0;0;0;375;591;379;598;BOM;BOM;BOM;BOM;
323002512;2020-05-01 00:00:00 UTC;PR;3366;Até 25%;0;0;0;0;0;495;654;518;706;BOM;BOM;BOM;BOM;BOM
57263278;2020-05-01 00:00:00 UTC;SP;1317;Até 25%;0;0;0;0;0;308;638;292;633;BOM;BOM;BOM;BOM;BOM
400093683;2020-09-01 00:00:00 UTC;MS;3366;Até 25%;0;0;0;0;0;351;597;400;717;BOM;BOM;BOM;BOM;
696766815;2020-05-01 00:00:00 UTC;MS;1428;Até 25%;0;0;0;0;0;293;581;193;547;BOM;BOM;BOM;BOM;BOM
1180748353;2020-08-01 00:00:00 UTC;PR;1160;51 a 75%;0;7;616;0;0;25;204;156;506;BOM;BOM;BOM;BOM;
1200721421;2020-05-01 00:00:00 UTC;MS;3435;Até 25%;0;0;0;0;0;776;621;772;831;BOM;BOM;BOM;BOM;BOM
970056843;2020-08-01 00:00:00 UTC;RS;4543;Até 25%;0;0;0;0;0;778;693;829;782;BOM;BOM;BOM;BOM;
51661076;2020-09-01 00:00:00 UTC;BA;2391;Até 25%;0;0;0;0;0;622;611;659;791;BOM;MAU;MAU;MAU;
360634695;2020-08-01 00:00:00 UTC;MG;3886;51 a 75%;0;1;163;0;0;225;271;345;620;BOM;BOM;BOM;BOM;
940462602;2020-06-01 00:00:00 UTC;SP;3376;Até 25%;0;0;0;0;0;736;673;786;937;BOM;BOM;BOM;BOM;BOM
1038744711;2020-05-01 00:00:00 UTC;BA;2275;Até 25%;0;5;518;0;0;180;253;243;636;BOM;BOM;BOM;BOM;BOM
88075389;2020-10-01 00:00:00 UTC;SP;1438;Até 25%;0;0;0;0;0;544;682;608;751;BOM;BOM;;;
1100490720;2020-07-01 00:00:00 UTC;MS;3370;Até 25%;0;0;0;0;0;803;681;786;849;BOM;BOM;BOM;BOM;
911599083;2020-10-01 00:00:00 UTC;TO;1409;Até 25%;0;0;0;0;0;397;616;290;625;BOM;BOM;;;
875550131;2020-06-01 00:00:00 UTC;GO;3047;Até 25%;0;0;0;0;0;715;631;586;784;BOM;BOM;BOM;BOM;BOM
1106336496;2020-10-01 00:00:00 UTC;MG;3492;Até 25%;0;0;0;0;0;782;733;724;886;BOM;BOM;;;
349552078;2020-06-01 00:00:00 UTC;MS;4409;Até 25%;0;0;0;0;0;744;658;754;902;BOM;BOM;BOM;BOM;BOM
783600946;2020-05-01 00:00:00 UTC;RJ;3492;Acima de 100%;0;1;948;0;0;61;252;219;599;BOM;BOM;BOM;BOM;MAU
1084780197;2020-09-01 00:00:00 UTC;MS;4279;Até 25%;0;0;0;0;0;423;593;548;711;BOM;BOM;BOM;BOM;
30348351;2020-09-01 00:00:00 UTC;BA;1515;Até 25%;0;1;260;3;411;147;242;243;672;MAU;BOM;BOM;BOM;
35706979;2020-06-01 00:00:00 UTC;RS;4143;Até 25%;0;0;0;0;0;598;611;477;684;MAU;MAU;MAU;MAU;MAU
